Title,Category,Type,Description,Application,Reference 
.playground, Developer Files, Xcode Playground File, Developer file created by Apple Xcode. an IDE used for creating iOS and OS X apps; saves an interactive work area so that programmers can write and test code in real-time while they develop; contains source code written in Apple's Swift programming language. which was released with iOS 8 and OS X Yosemite., Empty, https://fileinfo.com//extension/playground
.kpl, Developer Files, Kids Programming Language File, Source code file written in the Kids Programming Language (KPL); contains program code. including comments. variable declarations. functions. and other programming elements; used by students to store educational programs in learning environments., Krita|Krita|Krita, https://fileinfo.com//extension/kpl
.resw, Developer Files, Windows Resources File, Resource file used by Windows and Silverlight applications; contains strings that are used to localize the application for different languages and contexts; replaces .RESX files in some application development scenarios; often used with XAML applications. which abstract the user interface strings to resource files., Empty, https://fileinfo.com//extension/resw
.plg, Developer Files, Visual Studio Build Log File, Log file created by older versions of Visual Studio (and Visual C++). a software development IDE; contains an HTML page with project build information; can be used for generating reports of automated builds in which an email referencing the HTML page is sent to the developer., Empty, https://fileinfo.com//extension/plg
.adblock, Developer Files, Alpha Five Library Temporary File, Temporary file created by Alpha Five. an IDE that enables users to develop Web applications; contains data that prohibits database refreshing by more than one user; removed by Alpha Five after refreshing is complete., Empty, https://fileinfo.com//extension/adblock
.depend, Developer Files, Code::Blocks Dependencies File, Development project support file created by Code::Blocks. a cross-platform C/C++ software development application; saves project dependency information. such as required source code files or external libraries., Empty, https://fileinfo.com//extension/depend
.hpf, Developer Files, High Performance Fortran File, Program written in High Performance Fortran (HPF). a programming language that provides a set of extensions to Fortran 90; enables access to features included in modern high-performance architectures., Empty, https://fileinfo.com//extension/hpf
.nsi, Developer Files, NSIS Script, Text file written using NSIS (Nullsoft Scriptable Install System) script. a language used for declaring the logic and tasks for software installers; often references files and folders to install as well as Windows registry actions., Nullsoft NSIS|spaceblue Venis IX|HM NIS EDIT, https://fileinfo.com//extension/nsi
.ss, Developer Files, SilverStripe Source Code File, Developer file created for SilverStripe. a Web application framework developed in PHP5 using object-oriented techniques; uses the SilverStripe templating language. which allows plain text (such as HTML and XML) to be augmented with loops. conditionals. and other statements; used for producing dynamic page content., SilverStripe|SilverStripe|SilverStripe, https://fileinfo.com//extension/ss
.pxd, Raster Image Files, Pyrex Definition File, Image created by Pixlr. a Flash-based image editor that runs in a Web browser; supports multiple layers as well as drawn graphics and text on each layer; allows images to be saved from the Web browser to the the local computer and then loaded again through the Pixlr Web interface., Autodesk Pixlr|Pyrex|Pyrex|Pyrex, https://fileinfo.com//extension/pxd
.pde, Developer Files, Processing Development Environment Source Code File, Software application written with Arduino. an IDE used for prototyping electronics; contains source code written in the Arduino programming language; enables developers to control the electronics on an Arduino circuit board., Arduino Web Editor|Autodesk Tinkercad|ArduinoDroid|Chocolat|Kod, https://fileinfo.com//extension/pde
.sb, Developer Files, Small Basic Source Code File, An SB file is a project created by Scratch. an application development platform created at MIT (the Massachusetts Institute of Technology).  It contains all the project information including any imported media such as sprites. sounds. and images.  SB files were replaced by .SB2 files. which are saved in the Scratch 2.0 format., Scratch 1.4|Scratch Desktop|Scratch 2.0 Offline Editor|Panther|Scratch 1.4|Scratch Desktop|Scratch 2.0 Offline Editor|Scratch 1.4|Scratux|Scratch Mobile|Scratch|Scratch Mobile|Microsoft Small Basic|Slax, https://fileinfo.com//extension/sb
.os, Developer Files, ObjectScript Source File, An OS file is a source file that contains ObjectScript code. which is a general purpose object-oriented programming language.  It stores an executable script. which includes a list of commands and functions written in ObjectScript., ObjectDevel|ObjectDevel|ObjectDevel, https://fileinfo.com//extension/os
.mqh, Developer Files, MetaTrader Include File, An MQH file is an include file created by MetaTrader. an online trading platform.  It contains definitions for common variables and functions that programmers can use for developing custom indicators. Expert Advisors. and scripts., MetaQuotes MetaTrader|MetaQuotes MetaTrader, https://fileinfo.com//extension/mqh
